TICKER;EMPRESA;CNPJ
CMIN3;CSN MINERAÇÃO;08.902.291/0001-15
CARD3;CSU CARDSYSTEM;01.896.779/0001-38
CURY3;CURY;08.797.760/0001-83
CVCB3;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS;10.760.260/0001-19
CYRE3;CYRELA BRAZIL REALTYEMPREEND E PART;73.178.600/0001-18
CCPR3;CYRELA COMMERCIAL PROPERTIES;08.801.621/0001-86
DMVF3;D1000;12.108.897/0001-50
DESK3;DESKTOP;08.170.849/0001-15
DXCO3;DEXCO;97.837.181/0001-47
DIRR3;DIRECIONAL ENGENHARIA;16.614.075/0001-00
DMMO3;DOMMO;08.926.302/0001-05
DOTZ3;DOTZ;10.221.279/0001-97
DAGB33;DUFRY A.G.;11.423.623/0001-93
ECOR3;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA;04.149.454/0001-80
ENBR3;EDP – ENERGIAS DO BRASIL;03.983.431/0001-03
ELEK3;ELEKEIROZ;13.788.120/0001-47
ELEK4;ELEKEIROZ;13.788.120/0001-47
ELET3;ELETROBRAS;00.001.180/0001-26
ELET6;ELETROBRAS;00.001.180/0001-26
ELMD3;ELETROMIDIA;09.347.516/0001-81
ELPL3;ELETROPAULO;61.695.227/0001-93
EMBR3;EMBRAER;07.689.002/0001-89
ENAT3;ENAUTA PARTICIPAÇÕES;11.669.021/0001-10
ENGI11;ENERGISA;00.864.214/0001-06
ENGI3;ENERGISA;00.864.214/0001-06
ENGI4;ENERGISA;00.864.214/0001-06
ENEV3;ENEVA;04.423.567/0001-21
EGIE3;ENGIE BRASIL ENERGIA;02.474.103/0001-19
ENJU3;ENJOEI;16.922.038/0001-51
EQTL3;EQUATORIAL ENERGIA;03.220.438/0001-73
ESPA3;ESPAÇO LASER;26.659.061/0001-59
ALPK3;ESTAPAR;60.537.263/0001-66
ETER3;ETERNIT;61.092.037/0001-81
EUCA3;EUCATEX;56.643.018/0001-66
